Intercept;LAI_year;p_year;Rn_year;VPD_year;e_act_year;e_star_year;ET_GF_year;LAI_^2;p_^2;Rn_^2;VPD_^2;e_act_^2;e_star_^2;LAI:p;LAI:Rn;LAI:VPD;LAI:e_act;LAI:e_star;p:Rn;p:VPD;p:e_act;p:e_star;Rn:VPD;Rn:e_act;Rn:e_star;VPD:e_act;VPD:e_star;e_act:e_star;row;col
1;-0,328766278;-0,431874735;2,706082662;-0,019962117;-0,012846351;0,022931993;0,140099123;0,108087265;0,186515787;7,322883373;0,000398486;0,000165029;0,000525876;0,141985849;-0,889668724;0,006562871;0,004223447;-0,007539266;-1,168688733;0,008621134;0,005548014;-0,009903748;-0,054019139;-0,034763287;0,062055869;0,00025644;-0,000457771;-0,000294592;283;854
1;1,759514809;-0,254095426;11,4121755;0,149717703;-0,084654093;0,078400373;5,549142838;3,095892362;0,064564486;130,2377496;0,022415391;0,007166315;0,006146619;-0,447084665;20,07989178;0,263430516;-0,14895013;0,137946618;-2,899781594;-0,038042584;0,021510218;-0,019921176;1,708604707;-0,966087363;0,894718821;-0,012674216;0,011737924;-0,006636912;538;288
1;-0,354692638;-0,172501036;1,025276184;0,07811442;-0,041264892;0,024160363;-4,327241421;0,125806867;0,029756607;1,051191254;0,006101863;0,001702791;0,000583723;0,061184848;-0,363657914;-0,02770661;0,014636353;-0,008569503;-0,176861204;-0,013474818;0,007118237;-0,004167688;0,080088855;-0,042307911;0,024771045;-0,003223383;0,001887273;-0,000996975;207;611
1;-0,299413204;-0,198509693;-2,045150757;0,050163567;-0,010387152;-0,008090138;-1,205304384;0,089648267;0,039406098;4,182641618;0,002516383;0,000107893;6,55E-05;0,059436423;0,612345141;-0,015019634;0,003110051;0,002422294;0,405982249;-0,009957954;0,00206195;0,001605971;-0,102592057;0,021243293;0,016545553;-0,000521057;-0,00040583;8,40E-05;185;571
1;-0,111546176;-0,462145954;-3,526039124;0,173391923;-0,074595484;0,0968045;-3,823807955;0,012442549;0,213578883;12,4329519;0,030064759;0,005564486;0,009371111;0,051550614;0,39331618;-0,019341206;0,008320841;-0,010798172;1,629544716;-0,080132376;0,034474001;-0,044737808;-0,611386705;0,263026595;-0,341336453;-0,012934254;0,016785118;-0,007221178;491;543
1;0,551793277;-0,303504467;2,162742615;0,200618058;-0,109082937;0,103568137;0,024269044;0,304475821;0,092114961;4,677455618;0,040247605;0,011899087;0,010726359;-0,167471725;1,193386835;0,110699696;-0,060191231;0,057148202;-0,656402045;-0,060888477;0,033107159;-0,031433392;0,433885224;-0,235918317;0,223991223;-0,021884007;0,020777638;-0,011297517;506;540
1;-0,687422536;-0,14169395;0,178952898;0,09338965;-0,035243495;0,045789242;-2,572144508;0,472549743;0,020077175;0,03202414;0,008721627;0,001242104;0,002096655;0,097403614;-0,123016255;-0,06419815;0,024227173;-0,031476557;-0,025356543;-0,013232748;0,00499379;-0,006488059;0,016712349;-0,006306926;0,008194118;-0,003291378;0,004276241;-0,001613773;207;617
1;0,148231983;-0,366549641;-0,408611298;-0,003192723;0,036132038;0,034501255;-3,403408051;0,021972721;0,134358639;0,166963193;1,02E-05;0,001305524;0,001190337;-0,05433438;-0,060569263;-0,000473264;0,005355924;0,005114189;0,149776324;0,001170291;-0,013244185;-0,012646422;0,001304583;-0,014763959;-0,014097602;-0,00011536;-0,000110153;0,001246601;277;889
1;-0,066075623;-0,122601837;6,677696228;0,150576234;-0,018610284;0,113669742;-1,840281487;0,004365988;0,01503121;44,59162691;0,022673202;0,000346343;0,01292081;0,008100993;-0,441232939;-0,009949418;0,001229686;-0,007510799;-0,818697824;-0,018460923;0,002281655;-0,013936119;1,005502349;-0,124273821;0,759052009;-0,002802266;0,017115962;-0,002115426;495;649
1;-0,082055569;-0,39493382;-2,000920222;0,192383587;-0,085459918;0,112727284;-3,621192932;0,006733116;0,155972722;4,003681736;0,037011445;0,007303398;0,012707441;0,032406519;0,164186647;-0,015786145;0,007012462;-0,009249901;0,790231066;-0,075978785;0,033751012;-0,044519817;-0,38494421;0,170998478;-0,225558303;-0,016441086;0,021686879;-0,009633664;494;539
1;1,118721565;0,35458602;8,128910065;0,091180086;-0,038869598;0,045825297;1,458192825;1,251537939;0,125731246;66,07917884;0,008313808;0,001510846;0,002099958;0,396683027;9,093986986;0,102005129;-0,043484257;0,051265748;2,882397868;0,032331184;-0,013782616;0,01624901;0,74119472;-0,315967464;0,372509719;-0,003544133;0,004178355;-0,001781211;564;647
1;0,242009163;-0,261294544;-0,222422282;0,220134258;-0,118038167;0,102956512;-4,124585629;0,058568435;0,068274839;0,049471671;0,048459092;0,013933009;0,010600043;-0,063235674;-0,05382823;0,053274508;-0,028566318;0,024916419;0,058117729;-0,057519881;0,030842729;-0,026901975;-0,048962764;0,026254318;-0,022899822;-0,025984244;0,022664255;-0,012152798;540;471
1;0,061640739;-0,465255082;0,181594849;0,182849541;-0,046993068;0,115913578;-5,36119175;0,003799581;0,216462291;0,032976689;0,033433955;0,002208348;0,013435958;-0,028678667;0,011193641;0,011270981;-0,002896687;0,007144999;-0,084487926;-0,085071678;0,021863764;-0,053929381;0,033204535;-0,008533699;0,021049309;-0,008592661;0,021194745;-0,005447135;493;597
1;0,48904109;-0,170957208;-0,365142822;0,124143362;-0,02982642;0,118205845;2,693683147;0,239161188;0,029226367;0,133329281;0,015411574;0,000889615;0,013972622;-0,083605099;-0,178569844;0,060711205;-0,014586345;0,057807515;0,062423797;-0,021223203;0,005099041;-0,020208141;-0,045330058;0,010890903;-0,043162016;-0,003702752;0,014674471;-0,003525657;426;410
1;-0,252217054;-0,348833927;4,624161353;0,232884586;-0,114603341;0,100736171;-3,296333313;0,063613443;0,121685109;21,38286822;0,05423523;0,013133926;0,010147776;0,087981866;-1,166292355;-0,058737464;0,028904917;-0,02540738;-1,613064364;-0,081238045;0,039977533;-0,035140194;1,076895902;-0,529944339;0,465820309;-0,026689352;0,023459901;-0,011544702;490;494
1;0,716916025;-0,308929533;0,316959728;0,047097355;-0,046598092;0,037868142;-0,174958333;0,513968586;0,095437456;0,100463469;0,002218161;0,002171382;0,001433996;-0,221476533;0,227233508;0,033764849;-0,033406919;0,027148278;-0,097918221;-0,014549764;0,014395527;-0,011698587;0,014927965;-0,014769718;0,012002676;-0,002194647;0,001783489;-0,001764583;290;666
1;0,549657047;-0,305702388;0,185317993;-0,005254745;0,011728207;0,025749207;-1,431845069;0,302122869;0,09345395;0,034342759;2,76E-05;0,000137551;0,000663022;-0,168031472;0,101861341;-0,002888308;0,006446492;0,014153233;-0,056652153;0,001606388;-0,003585341;-0,007871594;-0,000973799;0,002173448;0,004771791;-6,16E-05;-0,000135306;0,000301992;281;883
1;0,068430106;-0,270236135;2,574996948;0,047060698;0,004011691;0,016569793;-0,77624166;0,004682679;0,073027568;6,630609283;0,002214709;1,61E-05;0,000274558;-0,018492287;0,176207314;0,003220369;0,00027452;0,001133873;-0,695857222;-0,012717501;-0,001084104;-0,004477757;0,121181154;0,010330091;0,042667167;0,000188793;0,000779786;6,65E-05;172;566
1;-0,152559451;-0,102830827;16,80286407;0,145129987;-0,000160336;0,117991716;-0,41875276;0,023274386;0,010574179;282,3362411;0,021062713;2,57E-08;0,013922045;0,015687815;-2,563435713;-0,022140951;2,45E-05;-0,018000751;-1,727852413;-0,014923837;1,65E-05;-0,012133186;2,438599448;-0,002694112;1,98259876;-2,33E-05;0,017124136;-1,89E-05;477;676
1;0,796878121;-0,293133616;2,799453735;0,060753599;-0,022042617;0,009272218;-0,086926825;0,63501474;0,085927317;7,836941216;0,003691;0,000485877;8,60E-05;-0,233591766;2,230823433;0,048413214;-0,017565279;0,007388827;-0,820613998;-0,017808922;0,006461432;-0,002717999;0,170076889;-0,061707287;0,025957145;-0,001339168;0,000563321;-0,000204384;185;583
1;0,4383564;-0,29241398;-0,075302124;0,060948133;-0,050027172;0,033793395;-0,733700573;0,192156333;0,085505936;0,00567041;0,003714675;0,002502718;0,001141994;-0,128181539;-0,033009168;0,026717004;-0,021929731;0,014813551;0,022019394;-0,017822086;0,014628644;-0,009881661;-0,004589524;0,003767152;-0,002544714;-0,003049063;0,002059644;-0,001690588;292;666
1;0,678364635;-0,061598986;3,11265564;0,089873672;-0,056108311;0,027679205;1,266782403;0,460178577;0,003794435;9,688625131;0,008077277;0,003148143;0,000766138;-0,041786574;2,111515505;0,06096712;-0,038061894;0,018776594;-0,191736432;-0,005536127;0,003456215;-0,001705011;0,279745791;-0,17464585;0,086155833;-0,00504266;0,002487632;-0,001553033;584;651
1;-0,193901062;-0,133859515;-0,621185303;0,084288546;-0,04619658;0,048706412;-4,283272266;0,037597622;0,01791837;0,38587118;0,007104559;0,002134124;0,002372315;0,025955502;0,12044849;-0,016343639;0,008957566;-0,009444225;0,083151563;-0,011282824;0,006183852;-0,006519817;-0,052358806;0,028696636;-0,030255707;-0,003893843;0,004105393;-0,00225007;218;621
1;0,652968089;-0,020349622;7,398899623;0,107217729;-0,042956273;0,049154758;-1,322549105;0,426367325;0,000414107;54,74371564;0,011495641;0,001845241;0,00241619;-0,013287654;4,831245346;0,070009756;-0,028049075;0,032096489;-0,150564809;-0,00218184;0,000874144;-0,001000281;0,793293215;-0,31782915;0,363691124;-0,004605674;0,005270262;-0,002111505;592;680
